x,y_upper,y_lower
0.0,0.0,0.0
0.20040080160320642,0.8585048264088926,-0.4577032232024798
0.40080160320641284,1.3305663335854094,-0.5289631271725839
0.6012024048096193,1.7387808149308093,-0.5363760053115708
0.8016032064128257,2.1138407852897694,-0.5106343724641179
1.0020040080160322,2.4676475276297314,-0.46363951159766725
1.2024048096192386,2.806310987885375,-0.4015013686468978
1.402805611222445,3.133464378773338,-0.3278531563284479
1.6032064128256514,3.4514772667989293,-0.2450644411476266
1.8036072144288577,3.7619971573460713,-0.15478272848835561
2.0040080160320644,4.066224742352871,-0.05820871028874253
2.2044088176352705,4.365067310558473,0.04375032471206808
2.404809619238477,4.659230400435028,0.1503888380419265
2.6052104208416833,4.949275614744447,0.26114522693891873
2.80561122244489,5.235658721315599,0.37556372357418066
3.006012024048096,5.518755683714759,0.49326836438143307
3.2064128256513027,5.798880991424623,0.6139446598779821
3.4068136272545093,6.076300904022651,0.7373263504863674
3.6072144288577155,6.351243235199176,0.8631856225162546
3.807615230460922,6.623904721646502,0.9913257392753416
4.008016032064129,6.89445666807568,1.1215753960525778
4.208416833667335,7.163049337245579,1.2537843300890907
4.408817635270541,7.429815410196759,1.3878198603443233
4.609218436873747,7.694872746731401,1.5235641270160931
4.809619238476954,7.958326611781581,1.6609118651723276
5.01002004008016,8.2202714888593,1.7997685913010217
5.210420841683367,8.480792570554573,1.9400491128121606
5.410821643286574,8.739966993753772,2.0816762928193753
5.61122244488978,8.997864871099038,2.2245800186805216
5.811623246492986,9.254550158350039,2.368696334635933
6.012024048096192,9.510081388493058,2.513966707699327
6.212424849699399,9.764512296813432,2.660337402585367
6.412825651302605,10.017892356110107,2.8077589464951043
6.613226452905812,10.270267237365836,2.956185668445788
6.813627254509019,10.521679208193353,3.1055753008246847
7.014028056112225,10.772167479040313,3.2558886331841372
7.214428857715431,11.021768505295636,3.4070892101352257
7.414829659318637,11.270516251980428,3.5591430666568455
7.615230460921844,11.51844242654112,3.712018495302569
7.81563126252505,11.76557668432532,3.865685840724781
8.016032064128257,12.011946810562943,4.020117317693572
8.216432865731463,12.257578882058178,4.175286849404747
8.41683366733467,12.502497411293321,4.331169923376018
8.617234468937877,12.74672547523018,4.4877434626455734
8.817635270541082,12.990284830751675,4.64498571033049
9.01803607214429,13.233196018401149,4.802876125887431
9.218436873747494,13.475478455839035,4.961395291655955
9.418837675350701,13.717150522237326,5.120524828464077
9.619238476953909,13.95822963466449,5.280247319243328
9.819639278557114,14.198732317371935,5.440546239742292
10.02004008016032,14.438674264773042,5.601405895547601
10.220440881763528,14.678070398803458,5.762811364723598
10.420841683366733,14.916934921264385,5.92474844546908
10.62124248496994,15.155281361675588,6.087203608264293
10.821643286573147,15.393122621100785,6.25016395204551
11.022044088176353,15.630471012352773,6.413617163999932
11.22244488977956,15.86733829693767,6.57755148262145
11.422845691382767,16.103735719056292,6.741955663709242
11.623246492985972,16.339674036944626,6.9068189490273175
11.823647294589179,16.575163551803936,7.072131037374423
12.024048096192384,16.810214134543564,7.237882057841206
12.224448897795591,17.044835250535602,7.40406254505558
12.424849699398798,17.27903598255934,7.570663416238259
12.625250501002004,17.512825052094964,7.737675949909043
12.82565130260521,17.746210839109676,7.905091766100747
13.026052104208418,17.979201400464724,8.072902807952113
13.226452905811623,18.211804487059375,8.241101324563871
13.42685370741483,18.444027559816245,8.409679855013415
13.627254509018037,18.67587780460242,8.578631213433656
13.827655310621243,18.907362146171888,8.747948475070597
14.02805611222445,19.13848726120674,8.917624963242158
14.228456913827655,19.369259590527356,9.087654237127952
14.428857715430862,19.599685350535616,9.258030080326108
14.629258517034069,19.829770543949213,9.428746490118925
14.829659318637274,20.059520969880158,9.599797667394391
15.030060120240481,20.288942233305832,9.771178007175132
15.230460921843688,20.518039753976804,9.942882089710572
15.430861723446894,20.74681877480196,10.114904672091829
15.6312625250501,20.975284369747865,10.287240680352337
15.831663326653308,21.203441451286526,10.45988520202009
16.032064128256515,21.431294777422643,10.632833479090387
16.23246492985972,21.65884895832911,10.806080901390331
16.432865731462925,21.88610846261714,10.97962300030871
16.633266533066134,22.11307762326539,11.15345544286688
16.83366733466934,22.339760643230413,11.327574026108266
17.034068136272545,22.566161600759308,11.501974671785781
17.234468937875754,22.792284454423523,11.676653421327984
17.43486973947896,23.01813304789161,11.85160643106631
17.635270541082164,23.24371111445732,12.026829967707009
17.835671342685373,23.469022281338148,12.202320404032596
18.03607214428858,23.69407007375846,12.378074214818696
18.236472945891784,23.91885791883023,12.554087972953337
18.43687374749499,24.143389149243564,12.730358345746414
18.637274549098198,24.367667006778262,12.906882091418133
18.837675350701403,24.591694645646918,13.083656055755888
19.03807615230461,24.815475135679378,13.260677168929838
19.238476953907817,25.03901146535762,13.437942442458013
19.438877755511022,25.262306544709567,13.615448966312476
19.639278557114228,25.485363208069817,13.793193906158638
19.839679358717436,25.708184216714614,13.97117450072026
20.04008016032064,25.930772261378056,14.149388059263227
20.240480961923847,26.153129964656024,14.32783195919167
20.440881763527056,26.375259883303826,14.506503643750285
20.64128256513026,26.597164510433288,14.685400619827234
20.841683366733466,26.818846277614654,14.86452045585228
21.042084168336675,27.04030755688821,15.043860779785142
21.24248496993988,27.261550662690333,15.22341927718943
21.442885771543086,27.48257785369844,15.40319368938773
21.643286573146295,27.703391334598905,15.583181811693684
21.8436873747495,27.923993257781778,15.763381491717222
22.044088176352705,28.144385724966142,15.943790627739268
22.244488977955914,28.364570788759355,16.124407167152473
22.44488977955912,28.584550454153522,16.305229104964717
