name,run_id_minimal_pair_analysis_fr,state_minimal_pair_analysis_fr,seed_minimal_pair_analysis_fr,model_name_minimal_pair_analysis_fr,dataset_name_minimal_pair_analysis_fr,compute_subcat_bool_minimal_pair_analysis_fr,_runtime_minimal_pair_analysis_fr,_step_minimal_pair_analysis_fr,_timestamp_minimal_pair_analysis_fr,_wandb_minimal_pair_analysis_fr,test_minimal_pair_analysis_fr,run_id_minimal_pair_analysis_multiblimp,state_minimal_pair_analysis_multiblimp,seed_minimal_pair_analysis_multiblimp,model_name_minimal_pair_analysis_multiblimp,dataset_name_minimal_pair_analysis_multiblimp,compute_subcat_bool_minimal_pair_analysis_multiblimp,_runtime_minimal_pair_analysis_multiblimp,_step_minimal_pair_analysis_multiblimp,_timestamp_minimal_pair_analysis_multiblimp,_wandb_minimal_pair_analysis_multiblimp,test_minimal_pair_analysis_multiblimp
Mistral-7B-Instruct-v0.3-bnb-4bit,ileq5im9,finished,42,unsloth/Mistral-7B-Instruct-v0.3-bnb-4bit,frblimp,True,180.178793072,0,1737317922.4367597,{'runtime': 180},"{'accuracy': 86.54, 'accuracy_per_subcat': {'1': 90.72, '10': 91.21, '11': 90, '12': 96, '13': 84.38, '14': 79.38, '15': 88.33, '16': 95, '17': 90, '18': 91.67, '19': 76.67, '2': 94.74, '20': 26.98, '3': 96.91, '4': 93.75, '5': 95.96, '6': 89.69, '7': 87.72, '8': 88.68, '9': 68.14}}",894fobyu,finished,42,unsloth/Mistral-7B-Instruct-v0.3-bnb-4bit,qfrcola,False,71,0,1757745177.3718734,{'runtime': 71},{'accuracy': 97.25}
Mistral-Small-Instruct-2409-bnb-4bit,n4v735rd,finished,42,unsloth/Mistral-Small-Instruct-2409-bnb-4bit,frblimp,True,490.259594003,0,1737318425.7912295,{'runtime': 490},"{'accuracy': 88.7, 'accuracy_per_subcat': {'1': 91.75, '10': 92.31, '11': 94, '12': 98, '13': 84.38, '14': 86.6, '15': 86.67, '16': 98.33, '17': 86.67, '18': 90, '19': 80, '2': 95.79, '20': 39.68, '3': 95.88, '4': 95.83, '5': 97.98, '6': 91.75, '7': 96.49, '8': 89.62, '9': 66.37}}",4fu4sltp,finished,42,unsloth/Mistral-Small-Instruct-2409-bnb-4bit,qfrcola,False,195,0,1757745383.319517,{'runtime': 195},{'accuracy': 99.61}
Mistral-Nemo-Instruct-2407-bnb-4bit,e0y1i76k,finished,42,unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit,frblimp,True,253.504759455,0,1737318685.618836,{'runtime': 253},"{'accuracy': 88.25, 'accuracy_per_subcat': {'1': 85.57, '10': 92.31, '11': 92, '12': 97, '13': 81.25, '14': 92.78, '15': 90, '16': 98.33, '17': 90, '18': 88.33, '19': 80, '2': 93.68, '20': 36.51, '3': 98.97, '4': 98.96, '5': 97.98, '6': 95.88, '7': 93.86, '8': 89.62, '9': 59.29}}",tswcjozp,finished,42,unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit,qfrcola,False,122,0,1757745516.3080568,{'runtime': 122},{'accuracy': 97.25}
aya-expanse-8b,zrdir0kq,finished,42,CohereForAI/aya-expanse-8b,frblimp,True,186.900978349,0,1737325202.8296075,{'runtime': 186},"{'accuracy': 78.71, 'accuracy_per_subcat': {'1': 82.47, '10': 87.91, '11': 84, '12': 94, '13': 77.08, '14': 91.75, '15': 73.33, '16': 66.67, '17': 76.67, '18': 71.67, '19': 70, '2': 83.16, '20': 25.4, '3': 83.51, '4': 89.58, '5': 96.97, '6': 72.16, '7': 82.46, '8': 75.47, '9': 60.18}}",cnay8sed,finished,42,CohereForAI/aya-expanse-8b,qfrcola,False,196,0,1757745723.0900178,{'runtime': 196},{'accuracy': 98.04}
aya-23-8b,nofaqulp,finished,42,CohereForAI/aya-23-8b,frblimp,True,186.834099693,0,1737325396.0037782,{'runtime': 186},"{'accuracy': 77.51, 'accuracy_per_subcat': {'1': 84.54, '10': 82.42, '11': 80, '12': 90, '13': 72.92, '14': 88.66, '15': 76.67, '16': 73.33, '17': 83.33, '18': 65, '19': 70, '2': 81.05, '20': 20.63, '3': 84.54, '4': 92.71, '5': 96.97, '6': 69.07, '7': 80.7, '8': 70.75, '9': 61.95}}",2w5f52ue,finished,42,CohereForAI/aya-23-8b,qfrcola,False,199,0,1757745932.9846165,{'runtime': 199},{'accuracy': 98.04}
flan-t5-small,xrk9f57j,finished,42,google/flan-t5-small,frblimp,True,195.31795136,0,1737325597.6998415,{'runtime': 195},"{'accuracy': 51.62, 'accuracy_per_subcat': {'1': 59.79, '10': 39.56, '11': 57, '12': 57, '13': 51.04, '14': 37.11, '15': 25, '16': 26.67, '17': 25, '18': 35, '19': 65, '2': 50.53, '20': 47.62, '3': 47.42, '4': 61.46, '5': 67.68, '6': 55.67, '7': 71.93, '8': 66.04, '9': 47.79}}",6nh47az0,finished,42,google/flan-t5-small,qfrcola,False,29,0,1757746696.148867,{'runtime': 29},{'accuracy': 62.75}
flan-t5-base,itibxfzi,finished,42,google/flan-t5-base,frblimp,True,287.684895179,0,1737325891.6592095,{'runtime': 287},"{'accuracy': 59.8, 'accuracy_per_subcat': {'1': 79.38, '10': 60.44, '11': 70, '12': 82, '13': 58.33, '14': 53.61, '15': 10, '16': 20, '17': 18.33, '18': 21.67, '19': 73.33, '2': 67.37, '20': 23.81, '3': 70.1, '4': 78.12, '5': 81.82, '6': 58.76, '7': 65.79, '8': 70.75, '9': 57.52}}",p6t5gldy,finished,42,google/flan-t5-base,qfrcola,False,47,0,1757746753.149024,{'runtime': 47},{'accuracy': 70.59}
flan-t5-large,volq11ys,finished,42,google/flan-t5-large,frblimp,True,542.028604031,0,1737326439.9486222,{'runtime': 542},"{'accuracy': 60.65, 'accuracy_per_subcat': {'1': 78.35, '10': 53.85, '11': 78, '12': 75, '13': 53.12, '14': 70.1, '15': 18.33, '16': 30, '17': 20, '18': 23.33, '19': 66.67, '2': 64.21, '20': 52.38, '3': 62.89, '4': 54.17, '5': 89.9, '6': 73.2, '7': 78.95, '8': 63.21, '9': 46.02}}",40qx0gfp,finished,42,google/flan-t5-large,qfrcola,False,99,0,1757746863.1911232,{'runtime': 99},{'accuracy': 74.51}
flan-t5-xl,y89jpbtf,finished,42,google/flan-t5-xl,frblimp,True,558.343175532,0,1737327004.574649,{'runtime': 558},"{'accuracy': 63.77, 'accuracy_per_subcat': {'1': 83.51, '10': 58.24, '11': 82, '12': 72, '13': 56.25, '14': 74.23, '15': 25, '16': 43.33, '17': 45, '18': 60, '19': 63.33, '2': 78.95, '20': 33.33, '3': 68.04, '4': 58.33, '5': 92.93, '6': 53.61, '7': 81.58, '8': 58.49, '9': 44.25}}",p7sk0yix,finished,42,google/flan-t5-xl,qfrcola,False,173,0,1757747046.7823954,{'runtime': 173},{'accuracy': 72.16}
flan-t5-xxl,gif57zck,finished,42,google/flan-t5-xxl,frblimp,True,574.116909787,0,1737327584.9301755,{'runtime': 574},"{'accuracy': 62.52, 'accuracy_per_subcat': {'1': 74.23, '10': 48.35, '11': 77, '12': 74, '13': 53.12, '14': 57.73, '15': 55, '16': 68.33, '17': 45, '18': 65, '19': 63.33, '2': 68.42, '20': 31.75, '3': 52.58, '4': 60.42, '5': 79.8, '6': 67.01, '7': 73.68, '8': 65.09, '9': 51.33}}",9ccr44a1,finished,42,google/flan-t5-xxl,qfrcola,False,488,0,1757747546.6702597,{'runtime': 488},{'accuracy': 65.88}
Aléatoire,82bdmj99,finished,42,Aléatoire,frblimp,True,0.530888755,0,1737495556.388374,{'runtime': 0},"{'accuracy': 49.4, 'accuracy_per_subcat': {'1': 51.55, '10': 47.25, '11': 54, '12': 55, '13': 50, '14': 49.48, '15': 41.67, '16': 51.67, '17': 40, '18': 53.33, '19': 43.33, '2': 49.47, '20': 55.56, '3': 42.27, '4': 53.12, '5': 45.45, '6': 37.11, '7': 54.39, '8': 53.77, '9': 53.1}}",tz7x6gjd,finished,42,Aléatoire,qfrcola,False,0,0,1757753338.024927,{'runtime': 0},{'accuracy': 49.41}
DeepSeek-R1-Distill-Qwen-7B-bnb-4bit,4tws3fjt,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-7B-bnb-4bit,frblimp,True,320.297537742,0,1737986304.371493,{'runtime': 320},"{'accuracy': 76.38, 'accuracy_per_subcat': {'1': 80.41, '10': 71.43, '11': 83, '12': 88, '13': 69.79, '14': 81.44, '15': 66.67, '16': 85, '17': 78.33, '18': 61.67, '19': 50, '2': 80, '20': 36.51, '3': 95.88, '4': 86.46, '5': 94.95, '6': 85.57, '7': 76.32, '8': 73.58, '9': 55.75}}",f2poa4fp,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-7B-bnb-4bit,qfrcola,False,89,0,1757746033.0838785,{'runtime': 89},{'accuracy': 83.92}
DeepSeek-R1-Distill-Llama-8B-bnb-4bit,qphhbv3y,finished,42,unsloth/DeepSeek-R1-Distill-Llama-8B-bnb-4bit,frblimp,True,289.394749341,0,1737986600.39553,{'runtime': 289},"{'accuracy': 83.25, 'accuracy_per_subcat': {'1': 91.75, '10': 86.81, '11': 90, '12': 96, '13': 81.25, '14': 81.44, '15': 78.33, '16': 93.33, '17': 80, '18': 75, '19': 65, '2': 91.58, '20': 33.33, '3': 95.88, '4': 93.75, '5': 94.95, '6': 86.6, '7': 76.32, '8': 88.68, '9': 61.95}}",il2obsm1,finished,42,unsloth/DeepSeek-R1-Distill-Llama-8B-bnb-4bit,qfrcola,False,87,0,1757746131.2932017,{'runtime': 87},{'accuracy': 94.9}
DeepSeek-R1-Distill-Qwen-14B-unsloth-bnb-4bit,tbsznsck,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-14B-unsloth-bnb-4bit,frblimp,True,587.896592982,0,1737987194.9502847,{'runtime': 587},"{'accuracy': 87.68, 'accuracy_per_subcat': {'1': 91.75, '10': 85.71, '11': 93, '12': 98, '13': 77.08, '14': 88.66, '15': 83.33, '16': 93.33, '17': 83.33, '18': 86.67, '19': 73.33, '2': 95.79, '20': 47.62, '3': 97.94, '4': 96.88, '5': 97.98, '6': 95.88, '7': 86.84, '8': 92.45, '9': 69.03}}",1apep1e8,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-14B-unsloth-bnb-4bit,qfrcola,False,199,0,1757746341.2031944,{'runtime': 199},{'accuracy': 92.94}
DeepSeek-R1-Distill-Qwen-32B-bnb-4bit,sc1j2izo,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-32B-bnb-4bit,frblimp,True,1124.243450961,0,1737988328.491577,{'runtime': 1124},"{'accuracy': 87.96, 'accuracy_per_subcat': {'1': 92.78, '10': 90.11, '11': 92, '12': 98, '13': 84.38, '14': 85.57, '15': 85, '16': 98.33, '17': 81.67, '18': 88.33, '19': 66.67, '2': 95.79, '20': 57.14, '3': 96.91, '4': 92.71, '5': 94.95, '6': 93.81, '7': 92.11, '8': 88.68, '9': 68.14}}",yqczqy24,finished,42,unsloth/DeepSeek-R1-Distill-Qwen-32B-bnb-4bit,qfrcola,False,304,0,1757746656.280315,{'runtime': 304},{'accuracy': 96.08}
phi-4-unsloth-bnb-4bit,r2l8t7a8,finished,42,unsloth/phi-4-unsloth-bnb-4bit,qfrcola,True,279.555867532,0,1752369214.3816752,{'runtime': 279},"{'accuracy': 89.89, 'accuracy_per_subcat': {'1': 92.78, '10': 95.6, '11': 93, '12': 99, '13': 82.29, '14': 92.78, '15': 83.33, '16': 96.67, '17': 86.67, '18': 88.33, '19': 71.67, '2': 98.95, '20': 49.21, '3': 96.91, '4': 96.88, '5': 96.97, '6': 97.94, '7': 97.37, '8': 88.68, '9': 71.68}}",foe5wzgj,finished,42,unsloth/phi-4-unsloth-bnb-4bit,qfrcola,False,162,0,1757747948.45053,{'runtime': 162},{'accuracy': 98.04}
Deepthink-Reasoning-7B,0tse6dak,finished,42,prithivMLmods/Deepthink-Reasoning-7B,qfrcola,True,152.753494156,0,1752369373.8639495,{'runtime': 152},"{'accuracy': 88.98, 'accuracy_per_subcat': {'1': 93.81, '10': 91.21, '11': 90, '12': 99, '13': 81.25, '14': 88.66, '15': 86.67, '16': 93.33, '17': 88.33, '18': 86.67, '19': 73.33, '2': 98.95, '20': 53.97, '3': 94.85, '4': 97.92, '5': 96.97, '6': 96.91, '7': 94.74, '8': 89.62, '9': 67.26}}",phhqcrwo,finished,42,prithivMLmods/Deepthink-Reasoning-7B,qfrcola,False,176,0,1757748135.2546062,{'runtime': 176},{'accuracy': 97.65}
Deepthink-Reasoning-14B,2ynspbvb,finished,42,prithivMLmods/Deepthink-Reasoning-14B,qfrcola,True,291.650054506,0,1752369672.145469,{'runtime': 291},"{'accuracy': 88.64, 'accuracy_per_subcat': {'1': 92.78, '10': 92.31, '11': 92, '12': 98, '13': 83.33, '14': 90.72, '15': 80, '16': 93.33, '17': 85, '18': 86.67, '19': 76.67, '2': 96.84, '20': 38.1, '3': 97.94, '4': 94.79, '5': 95.96, '6': 95.88, '7': 94.74, '8': 91.51, '9': 71.68}}",63wc12nc,finished,42,prithivMLmods/Deepthink-Reasoning-14B,qfrcola,False,316,0,1757748462.5453646,{'runtime': 316},{'accuracy': 97.65}
s1.1-32B,5fvyb1uz,finished,42,simplescaling/s1.1-32B,qfrcola,True,733.993633138,0,1752370413.0078497,{'runtime': 733},"{'accuracy': 89.84, 'accuracy_per_subcat': {'1': 93.81, '10': 93.41, '11': 87, '12': 98, '13': 87.5, '14': 88.66, '15': 85, '16': 98.33, '17': 85, '18': 91.67, '19': 78.33, '2': 98.95, '20': 49.21, '3': 96.91, '4': 96.88, '5': 96.97, '6': 96.91, '7': 96.49, '8': 92.45, '9': 69.03}}",hiyoaxu6,finished,42,simplescaling/s1.1-32B,qfrcola,False,1278,0,1757749750.905698,{'runtime': 1278},{'accuracy': 96.86}
QwQ-32B-unsloth-bnb-4bit,actd0bbd,finished,42,unsloth/QwQ-32B-unsloth-bnb-4bit,qfrcola,True,855.049915283,0,1752371280.7644844,{'runtime': 855},"{'accuracy': 89.61, 'accuracy_per_subcat': {'1': 91.75, '10': 94.51, '11': 90, '12': 98, '13': 86.46, '14': 88.66, '15': 91.67, '16': 96.67, '17': 81.67, '18': 88.33, '19': 73.33, '2': 97.89, '20': 46.03, '3': 96.91, '4': 97.92, '5': 94.95, '6': 97.94, '7': 96.49, '8': 92.45, '9': 70.8}}",5a54iwug,finished,42,unsloth/QwQ-32B-unsloth-bnb-4bit,qfrcola,False,339,0,1757750203.6748989,{'runtime': 339},{'accuracy': 98.04}
Mixtral-8x7B-Instruct-v0.1-unsloth-bnb-4bit,1zgtcl4t,finished,42,unsloth/Mixtral-8x7B-Instruct-v0.1-unsloth-bnb-4bit,qfrcola,True,1211.597589176,0,1752372536.788902,{'runtime': 1211},"{'accuracy': 89.1, 'accuracy_per_subcat': {'1': 89.69, '10': 93.41, '11': 94, '12': 99, '13': 81.25, '14': 86.6, '15': 93.33, '16': 96.67, '17': 90, '18': 86.67, '19': 76.67, '2': 95.79, '20': 42.86, '3': 93.81, '4': 97.92, '5': 97.98, '6': 95.88, '7': 99.12, '8': 89.62, '9': 66.37}}",azsyvjym,finished,42,unsloth/Mixtral-8x7B-Instruct-v0.1-unsloth-bnb-4bit,qfrcola,False,426,0,1757752576.9829612,{'runtime': 426},{'accuracy': 99.61}
Mixtral-8x7B-v0.1-unsloth-bnb-4bit,0bmf95qs,finished,42,unsloth/Mixtral-8x7B-v0.1-unsloth-bnb-4bit,qfrcola,True,1380.587915198,0,1752373924.3098493,{'runtime': 1380},"{'accuracy': 89.49, 'accuracy_per_subcat': {'1': 91.75, '10': 93.41, '11': 93, '12': 100, '13': 82.29, '14': 88.66, '15': 90, '16': 98.33, '17': 88.33, '18': 90, '19': 78.33, '2': 94.74, '20': 46.03, '3': 95.88, '4': 97.92, '5': 96.97, '6': 95.88, '7': 99.12, '8': 89.62, '9': 65.49}}",bncvimpj,finished,42,unsloth/Mixtral-8x7B-v0.1-unsloth-bnb-4bit,qfrcola,False,502,0,1757753090.0374408,{'runtime': 502},{'accuracy': 99.61}
reka-flash-3-unsloth-bnb-4bit,9j02s372,finished,42,unsloth/reka-flash-3-unsloth-bnb-4bit,qfrcola,True,606.948462262,0,1752374538.0941155,{'runtime': 606},"{'accuracy': 86.88, 'accuracy_per_subcat': {'1': 93.81, '10': 92.31, '11': 91, '12': 98, '13': 86.46, '14': 93.81, '15': 86.67, '16': 86.67, '17': 76.67, '18': 78.33, '19': 71.67, '2': 97.89, '20': 49.21, '3': 92.78, '4': 93.75, '5': 93.94, '6': 91.75, '7': 83.33, '8': 86.79, '9': 69.91}}",jjthspxc,finished,42,unsloth/reka-flash-3-unsloth-bnb-4bit,qfrcola,False,225,0,1757753327.700147,{'runtime': 225},{'accuracy': 93.73}
Chocolatine-2-14B-Instruct-v2.0.3,ut97wyp8,finished,42,jpacifico/Chocolatine-2-14B-Instruct-v2.0.3,qfrcola,True,782.409962661,0,1752426641.507722,{'runtime': 782},"{'accuracy': 88.59, 'accuracy_per_subcat': {'1': 91.75, '10': 92.31, '11': 90, '12': 98, '13': 84.38, '14': 89.69, '15': 83.33, '16': 95, '17': 81.67, '18': 81.67, '19': 73.33, '2': 98.95, '20': 42.86, '3': 95.88, '4': 97.92, '5': 96.97, '6': 96.91, '7': 95.61, '8': 88.68, '9': 71.68}}",x9zu7lh4,finished,42,jpacifico/Chocolatine-2-14B-Instruct-v2.0.3,qfrcola,False,364,0,1757735236.8539095,{'runtime': 364},{'accuracy': 97.25}
