name,run_id_minimal_pair_analysis_fr,state_minimal_pair_analysis_fr,seed_minimal_pair_analysis_fr,model_name_minimal_pair_analysis_fr,dataset_name_minimal_pair_analysis_fr,compute_subcat_bool_minimal_pair_analysis_fr,_runtime_minimal_pair_analysis_fr,_step_minimal_pair_analysis_fr,_timestamp_minimal_pair_analysis_fr,_wandb_minimal_pair_analysis_fr,test_minimal_pair_analysis_fr,run_id_minimal_pair_analysis_multiblimp,state_minimal_pair_analysis_multiblimp,seed_minimal_pair_analysis_multiblimp,model_name_minimal_pair_analysis_multiblimp,dataset_name_minimal_pair_analysis_multiblimp,compute_subcat_bool_minimal_pair_analysis_multiblimp,_runtime_minimal_pair_analysis_multiblimp,_step_minimal_pair_analysis_multiblimp,_timestamp_minimal_pair_analysis_multiblimp,_wandb_minimal_pair_analysis_multiblimp,test_minimal_pair_analysis_multiblimp
Qwen2.5-32B-bnb-4bit,enw3nluv,finished,42,unsloth/Qwen2.5-32B-bnb-4bit,frblimp,True,729.501346548,0,1737309701.8292396,{'runtime': 729},"{'accuracy': 90.29, 'accuracy_per_subcat': {'1': 93.81, '10': 93.41, '11': 91, '12': 98, '13': 86.46, '14': 89.69, '15': 91.67, '16': 98.33, '17': 86.67, '18': 90, '19': 80, '2': 98.95, '20': 47.62, '3': 96.91, '4': 96.88, '5': 96.97, '6': 97.94, '7': 98.25, '8': 91.51, '9': 67.26}}",tpbajmo2,finished,42,unsloth/Qwen2.5-32B-bnb-4bit,qfrcola,False,306,0,1757741625.6368802,{'runtime': 306},{'accuracy': 97.65}
Qwen2.5-32B-Instruct-bnb-4bit,qmudmhui,finished,42,unsloth/Qwen2.5-32B-Instruct-bnb-4bit,frblimp,True,729.836675007,0,1737310438.0640256,{'runtime': 729},"{'accuracy': 90.23, 'accuracy_per_subcat': {'1': 92.78, '10': 95.6, '11': 87, '12': 98, '13': 87.5, '14': 90.72, '15': 90, '16': 96.67, '17': 88.33, '18': 88.33, '19': 81.67, '2': 97.89, '20': 47.62, '3': 96.91, '4': 96.88, '5': 97.98, '6': 96.91, '7': 97.37, '8': 93.4, '9': 68.14}}",5e001d59,finished,42,unsloth/Qwen2.5-32B-Instruct-bnb-4bit,qfrcola,False,305,0,1757741993.0413046,{'runtime': 305},{'accuracy': 96.47}
Qwen2.5-72B-Instruct-bnb-4bit,qojbetwa,finished,42,unsloth/Qwen2.5-72B-Instruct-bnb-4bit,frblimp,True,1697.627731291,0,1737312142.1086762,{'runtime': 1697},"{'accuracy': 89.72, 'accuracy_per_subcat': {'1': 93.81, '10': 92.31, '11': 91, '12': 97, '13': 81.25, '14': 91.75, '15': 91.67, '16': 98.33, '17': 90, '18': 88.33, '19': 70, '2': 98.95, '20': 57.14, '3': 94.85, '4': 97.92, '5': 97.98, '6': 94.85, '7': 93.86, '8': 91.51, '9': 69.03}}",l6zg4db8,finished,42,unsloth/Qwen2.5-72B-Instruct-bnb-4bit,qfrcola,False,670,0,1757742673.9390678,{'runtime': 670},{'accuracy': 98.82}
Qwen2.5-72B-bnb-4bit,wzbr9wxz,finished,42,unsloth/Qwen2.5-72B-bnb-4bit,frblimp,True,1694.644933196,0,1737313843.4299226,{'runtime': 1694},"{'accuracy': 90.52, 'accuracy_per_subcat': {'1': 93.81, '10': 95.6, '11': 94, '12': 99, '13': 83.33, '14': 89.69, '15': 90, '16': 98.33, '17': 91.67, '18': 90, '19': 78.33, '2': 98.95, '20': 60.32, '3': 94.85, '4': 97.92, '5': 98.99, '6': 95.88, '7': 96.49, '8': 89.62, '9': 64.6}}",el66vquj,finished,42,unsloth/Qwen2.5-72B-bnb-4bit,qfrcola,False,672,0,1757743391.4544115,{'runtime': 672},{'accuracy': 98.43}
SmolLM2-360M,un9jq2n2,finished,42,HuggingFaceTB/SmolLM2-360M,frblimp,True,174.386727359,0,1737314024.4661891,{'runtime': 174},"{'accuracy': 72.35, 'accuracy_per_subcat': {'1': 74.23, '10': 65.93, '11': 72, '12': 85, '13': 69.79, '14': 75.26, '15': 88.33, '16': 65, '17': 78.33, '18': 55, '19': 66.67, '2': 72.63, '20': 9.52, '3': 85.57, '4': 84.38, '5': 97.98, '6': 71.13, '7': 81.58, '8': 61.32, '9': 61.95}}",uuy2vk03,finished,42,HuggingFaceTB/SmolLM2-360M,qfrcola,False,38,0,1757743534.2630007,{'runtime': 38},{'accuracy': 89.02}
SmolLM2-360M-Instruct,5i0abo4l,finished,42,HuggingFaceTB/SmolLM2-360M-Instruct,frblimp,True,174.34555101,0,1737314205.0193846,{'runtime': 174},"{'accuracy': 70.53, 'accuracy_per_subcat': {'1': 75.26, '10': 59.34, '11': 74, '12': 80, '13': 70.83, '14': 79.38, '15': 88.33, '16': 60, '17': 68.33, '18': 51.67, '19': 60, '2': 72.63, '20': 7.94, '3': 86.6, '4': 79.17, '5': 96.97, '6': 69.07, '7': 75.44, '8': 61.32, '9': 62.83}}",83ywa6p1,finished,42,HuggingFaceTB/SmolLM2-360M-Instruct,qfrcola,False,37,0,1757743582.3274815,{'runtime': 37},{'accuracy': 84.71}
SmolLM2-135M,pbxp87qe,finished,42,HuggingFaceTB/SmolLM2-135M,frblimp,True,165.543476366,0,1737314376.901454,{'runtime': 165},"{'accuracy': 67.75, 'accuracy_per_subcat': {'1': 67.01, '10': 63.74, '11': 68, '12': 78, '13': 60.42, '14': 58.76, '15': 91.67, '16': 66.67, '17': 70, '18': 53.33, '19': 68.33, '2': 68.42, '20': 1.59, '3': 85.57, '4': 79.17, '5': 95.96, '6': 54.64, '7': 82.46, '8': 59.43, '9': 61.06}}",otlemjha,finished,42,HuggingFaceTB/SmolLM2-135M,qfrcola,False,32,0,1757743624.7563934,{'runtime': 32},{'accuracy': 80.78}
SmolLM2-135M-Instruct,oibitni8,finished,42,HuggingFaceTB/SmolLM2-135M-Instruct,frblimp,True,164.436077287,0,1737314547.5287657,{'runtime': 164},"{'accuracy': 65.59, 'accuracy_per_subcat': {'1': 70.1, '10': 61.54, '11': 67, '12': 71, '13': 61.46, '14': 72.16, '15': 71.67, '16': 48.33, '17': 61.67, '18': 61.67, '19': 55, '2': 64.21, '20': 15.87, '3': 83.51, '4': 72.92, '5': 96.97, '6': 47.42, '7': 79.82, '8': 60.38, '9': 58.41}}",38tyrfhz,finished,42,HuggingFaceTB/SmolLM2-135M-Instruct,qfrcola,False,32,0,1757743667.761647,{'runtime': 32},{'accuracy': 75.69}
SmolLM2-1.7B,8afno7yt,finished,42,HuggingFaceTB/SmolLM2-1.7B,frblimp,True,131.545624044,0,1737314685.322133,{'runtime': 131},"{'accuracy': 78.25, 'accuracy_per_subcat': {'1': 75.26, '10': 80.22, '11': 82, '12': 93, '13': 72.92, '14': 71.13, '15': 88.33, '16': 78.33, '17': 78.33, '18': 63.33, '19': 75, '2': 81.05, '20': 1.59, '3': 90.72, '4': 91.67, '5': 98.99, '6': 84.54, '7': 81.58, '8': 79.25, '9': 68.14}}",gohpmtav,finished,42,HuggingFaceTB/SmolLM2-1.7B,qfrcola,False,53,0,1757743731.438872,{'runtime': 53},{'accuracy': 94.51}
SmolLM2-1.7B-Instruct,b70sj388,finished,42,HuggingFaceTB/SmolLM2-1.7B-Instruct,frblimp,True,132.305029201,0,1737314823.8997278,{'runtime': 132},"{'accuracy': 77.74, 'accuracy_per_subcat': {'1': 83.51, '10': 76.92, '11': 77, '12': 92, '13': 78.12, '14': 77.32, '15': 81.67, '16': 80, '17': 80, '18': 66.67, '19': 71.67, '2': 80, '20': 3.17, '3': 86.6, '4': 91.67, '5': 95.96, '6': 81.44, '7': 78.07, '8': 79.25, '9': 65.49}}",xkv30inn,finished,42,HuggingFaceTB/SmolLM2-1.7B-Instruct,qfrcola,False,53,0,1757743794.688737,{'runtime': 53},{'accuracy': 94.12}
